geoid,name,stcoid
3608771674,Stony Point,36087
900174190,Stratford,9001
3403971430,Summit,34039
3402971640,Surf City,34029
3403771670,Sussex,34037
3672554,Syosset,36059
3400372360,Teaneck,34003
3400372420,Tenafly,34003
3673352,Terryville,36103
3400372480,Teterboro,34003
3401972510,Tewksbury,34019
3673605,Thomaston,36059
900575730,Thomaston,9005
3610573627,Thompson,36105
3402573020,Tinton Falls,34025
3402973125,Toms River,34029
900576570,Torrington,9005
3403173140,Totowa,34031
3402174000,Trenton,34021
900177200,Trumbull,9001
3675572,Tuckahoe,36103
3402974210,Tuckerton,34029
3610575759,Tusten,36105
3607175781,Tuxedo,36071
3611175935,Ulster,36111
3403974480,Union,34039
3401974420,Union,34019
3402574540,Union Beach,34025
3401774630,Union City,34017
3676089,Uniondale,36059
3676287,University Gardens,36059
3676331,Upper Brookville,36059
3400375140,Upper Saddle River,34003
3676705,Valley Stream,36059
3403775740,Vernon,34037
3401375815,Verona,34013
3402775890,Victory Gardens,34027
3677519,Village of the Branch,36103
3677772,Wading River,36103
3677805,Wainscott,36103
3400376400,Waldwick,34003
3402576460,Wall,34025
900978740,Wallingford,9009
3400376490,Wallington,34003
3607177992,Wallkill,36071
3403176730,Wanaque,34031
3403776790,Wantage,34037
3678146,Wantagh,36059
3403576940,Warren,34035
900579510,Warren,9005
3607178366,Warwick,36071
3602778388,Washington,36027
3404177300,Washington,34041
3404177270,Washington,34041
3402777240,Washington,34027
3400377135,Washington,34003
900579720,Washington,9005
3403577600,Watchung,34035
900980070,Waterbury,9009
3678575,Water Mill,36103
900580490,Watertown,9005
3611178828,Wawarsing,36111
3607178839,Wawayanda,36071
3403177840,Wayne,34031
3401777930,Weehawken,34017
3679246,West Babylon,36103
3679301,West Bay Shore,36103
3679444,Westbury,36059
3401378510,West Caldwell,34013
3403979040,Westfield,34039
3680170,Westhampton,36103
3680181,Westhampton Beach,36103
3680186,West Hampton Dunes,36103
900982870,West Haven,9009
3680225,West Hempstead,36059
3680258,West Hills,36103
3680302,West Islip,36103
3402579310,West Long Branch,34025
3403179460,West Milford,34031
3401779610,West New York,34017
3401379800,West Orange,34013
900183500,Westport,9001
3680885,West Sayville,36103
3402180240,West Windsor,34021
3400380270,Westwood,34003
3402780390,Wharton,34027
3681419,Wheatley Heights,36103
3404180570,White,34041
3611981677,White Plains,36119
3682117,Williston Park,36059
900186370,Wilton,9001
900586440,Winchester,9005
3403981650,Winfield,34039
900987560,Wolcott,9009
3402382000,Woodbridge,34023
900987700,Woodbridge,9009
3607182755,Woodbury,36071
3682744,Woodbury,36059
900587910,Woodbury,9005
3400382300,Woodcliff Lake,34003
3403182423,Woodland Park,34031
3682942,Woodmere,36059
3400382570,Wood-Ridge,34003
3682986,Woodsburgh,36059
3611183052,Woodstock,36111
3683294,Wyandanch,36103
3400383050,Wyckoff,34003
3683426,Yaphank,36103
3611984000,Yonkers,36119
3611984077,Yorktown,36119
3403505560,Bernards,34035
3403507180,Branchburg,34035
3402907420,Brick,34029
3401313045,City of Orange,34013
3611918410,Cortlandt,36119
3402900000,County subdivisions not defined,34029
3402500000,County subdivisions not defined,34025
900900000,County subdivisions not defined,9009
3402918670,Eagleswood,34029
3401918820,East Amwell,34019
3610526528,Forestburgh,36105
3404125320,Frelinghuysen,34041
3403527510,Green Brook,34035
3611132116,Hardenburgh,36111
3403729850,Hardyston,34037
3402940560,Little Egg Harbor,34029
3404141490,Lopatcong,34041
3610543786,Lumberland,36105
3610544809,Mamakating,36105
3607147713,Minisink,36071
900554030,North Canaan,9005
3605953000,North Hempstead,36059
3654112,Oak Beach-Captree,36103
3608755211,Orangetown,36087
3402756460,Parsippany-Troy Hills,34027
3403557300,Peapack and Gladstone,34035
3607957584,Philipstown,36079
3402959790,Plumsted,34029
3404159820,Pohatcong,34041
3403765700,Sandyston,34037
3611166674,Shawangunk,36111
3402368790,South Brunswick,34023
3401369274,South Orange Village,34013
3664584,St. James,36103
3671620,Stony Brook University,36103
3602776166,Union Vale,36027
3402574900,Upper Freehold,34025
3403776640,Walpack,34037
3602778157,Wappinger,36027
3401978230,West Amwell,34019
